dataset,arch,operator,file,conf,method,vol_auc,slice_auc
brats,reference,context-nn,vol0068,0.9621,ig,0.841202,0.960749
brats,reference,context-nn,vol0068,0.9621,occlusion,0.795197,0.961179
brats,reference,context-nn,vol0068,0.9621,random,0.928949,0.964681
brats,reference,context-nn,vol0069,0.9995,gradcam,0.919450,0.999367
brats,reference,context-nn,vol0069,0.9995,ig,0.983612,0.999235
brats,reference,context-nn,vol0069,0.9995,occlusion,0.924995,0.999337
brats,reference,context-nn,vol0069,0.9995,random,0.936404,0.999419
brats,reference,context-nn,vol0070,0.8385,gradcam,0.068292,0.787428
brats,reference,context-nn,vol0070,0.8385,ig,0.290863,0.796454
brats,reference,context-nn,vol0070,0.8385,occlusion,0.239489,0.779760
brats,reference,context-nn,vol0070,0.8385,random,0.150530,0.793059
brats,reference,context-nn,vol0071,0.6303,gradcam,0.732977,0.665110
brats,reference,context-nn,vol0071,0.6303,ig,0.862356,0.665150
brats,reference,context-nn,vol0071,0.6303,occlusion,0.827206,0.636864
brats,reference,context-nn,vol0071,0.6303,random,0.837578,0.700061
brats,reference,context-nn,vol0072,1.0000,gradcam,0.957206,0.999498
brats,reference,context-nn,vol0072,1.0000,ig,0.889370,0.999834
brats,reference,context-nn,vol0072,1.0000,occlusion,0.857937,0.999959
brats,reference,context-nn,vol0072,1.0000,random,0.851386,0.999967
